번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
1,대전광역시,유성구,대전광역시 유성구청,6-3,1982-01-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,600,25,8,,시·군나무,임야,357,개인,대전광역시 유성구 반석로76번길 34-56,대전광역시 유성구 반석동 산12-9,36.3932306,127.3054241,2019-06-12
2,대전광역시,유성구,대전광역시 유성구청,6-4,1982-01-01,,노목,느릅나무과,Zelkova serrata,느티나무,3,500,20,3,,시·군나무,대,129,개인,대전광역시 유성구 송정길96번길 9-6,대전광역시 유성구 송정동 566-2,36.287324,127.250121,2019-06-12
3,대전광역시,유성구,대전광역시 유성구청,6-4-1,1982-01-01,,노목,소나무과,Pinus densiflora,소나무,3,450,13,3,,시·군나무,임야,316629,개인,,대전광역시 유성구 덕명동 산26-24,36.351077,127.288839,2019-06-12
4,대전광역시,유성구,대전광역시 유성구청,6-4-2,1982-01-01,,희귀목,느릅나무과,Zelkova serrata,느티나무,1,300,20,8,,시·군나무,체육용지,1643,개인,,대전광역시 유성구 덕명동 215-8,36.353831,127.291146,2019-06-12
5,대전광역시,유성구,대전광역시 유성구청,6-4-3,1982-01-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,300,10,8,,시·군나무,공원,2854,공공,대전광역시 유성구 노은서로210번길 40,대전광역시 유성구 지족동 859,36.37793077,127.3174443,2019-06-12
6,대전광역시,유성구,대전광역시 유성구청,6-4-5,1982-01-01,,희귀목,느릅나무과,Zelkova serrata,느티나무,1,400,15,5,,시·군나무,대,482,개인,대전광역시 유성구 진잠로59번길 23-14,대전광역시 유성구 원내동 280,36.2980239,127.3150024,2019-06-12
7,대전광역시,유성구,대전광역시 유성구청,6-4-6,1982-01-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,500,26,7,,시·군나무,공원,4062,공공,,대전광역시 유성구 봉산동 297,36.44004,127.384175,2019-06-12
8,대전광역시,유성구,대전광역시 유성구청,6-4-1-1,1982-01-01,,거목,느릅나무과,Zelkova serrata,느티나무,1,200,20,4,,면나무,대,2474,공공,대전광역시 유성구 원내로 5,대전광역시 유성구 원내동 213-4,36.2997126,127.3163861,2019-06-12
9,대전광역시,유성구,대전광역시 유성구청,6-4-2-1,1982-01-01,,노목,느릅나무과,Zelkova serrata,느티나무,4,300,23,3,,면나무,임야,27076,개인,,대전광역시 유성구 송정동 산24,36.2801761,127.2657338,2019-06-12
10,대전광역시,유성구,대전광역시 유성구청,6-4-2-2,1990-09-13,,거목,느릅나무과,Zelkova serrata,느티나무,5,200,15,5,,면나무,대,512,단체,대전광역시 유성구 성북로 282-17,"대전광역시 유성구 성북동 281,277",36.3041589,127.293233,2019-06-12
11,대전광역시,유성구,대전광역시 유성구청,6-4-6-1,1982-01-01,,거목,느릅나무과,Zelkova serrata,느티나무,2,280,18,5,,면나무,전,86,개인,,대전광역시 유성구 반석동 454-1,36.390788,127.3018242,2019-06-12
12,대전광역시,유성구,대전광역시 유성구청,6-4-6-2,1990-09-13,,희귀목,콩과,Sophora japonica,회화나무,1,250,20,2,,면나무,대,754,개인,대전광역시 유성구 외삼로 77,대전광역시 유성구 외삼동 173,36.4002919,127.316809,2019-06-12
13,대전광역시,유성구,대전광역시 유성구청,6-4-8-1,1982-01-01,,거목,느릅나무과,Zelkova serrata,느티나무,1,280,15,3,,면나무,임야,13939,개인,,대전광역시 유성구 구룡동 산97-11,36.436757,127.346818,2019-06-12
14,대전광역시,유성구,대전광역시 유성구청,6-4-1-5-1,1990-09-13,,노목,소나무과,Pinus densiflora,소나무,3,120,11,2,,마을나무,공원,2674,공공,,대전광역시 유성구 학하동 763-4,36.339142,127.312272,2019-06-12
15,대전광역시,유성구,대전광역시 유성구청,6-4-2-1-1,1982-01-01,,거목,느릅나무과,Zelkova serrata,느티나무,2,190,24,5,,마을나무,임야,45884,개인,대전광역시 유성구 성북로154번길 310-14,"대전광역시 유성구 성북동 산15-1, 761",36.30665162,127.2947532,2019-06-12
16,대전광역시,유성구,대전광역시 유성구청,6-4-2-2-1,1982-01-01,,거목,느릅나무과,Zelkova serrata,느티나무,1,190,14,4,,마을나무,대,313,개인,대전광역시 유성구 세동로 160-8,대전광역시 유성구 세동 65-1,36.2845221,127.2770063,2019-06-12
17,대전광역시,유성구,대전광역시 유성구청,6-4-2-2-2,1982-01-01,,거목,느릅나무과,Zelkova serrata,느티나무,1,110,15,2,,마을나무,답,1193,단체,대전광역시 유성구 세동로 490,대전광역시 유성구 세동 516,36.3118773,127.2688164,2019-06-12
18,대전광역시,유성구,대전광역시 유성구청,6-4-3-3-1,1982-01-01,,거목,소나무과,Pinus densiflora,소나무,3,110,17,2,,마을나무,체육용지,5237,개인,,대전광역시 유성구 덕명동 215-9,36.351342,127.295433,2019-06-12
19,대전광역시,유성구,대전광역시 유성구청,6-4-3-5-1,1982-01-01,,노목,버드나무과,Salix koreensis,버드나무,1,100,15,3,,마을나무,공원,32129,공공,대전광역시 유성구 도안대로 398,대전광역시 유성구 상대동 488(도안문화공원),36.3364509,127.3351479,2019-06-12
20,대전광역시,유성구,대전광역시 유성구청,6-4-6-6-1,1990-09-13,,거목,느릅나무과,Zelkova serrata,느티나무,1,120,20,3,,마을나무,대,284,개인,대전광역시 유성구 외삼로 220,대전광역시 유성구 외삼동 378,36.404781,127.312485,2019-06-12
21,대전광역시,유성구,대전광역시 유성구청,6-4-6-6-2,1990-09-13,,거목,느릅나무과,Zelkova serrata,느티나무,1,100,17,2,,마을나무,임야,418099,개인,대전광역시 유성구 외삼로 224-13,대전광역시 유성구 외삼동 산 34-1,36.40574147,127.3117513,2019-06-12
22,대전광역시,유성구,대전광역시 유성구청,6-4-6-6-3,1990-09-13,,거목,느릅나무과,Zelkova serrata,느티나무,1,300,20,3,,마을나무,임야,23260,개인,,대전광역시 유성구 외삼동 산 20-2,36.399293,127.316774,2019-06-12
23,대전광역시,유성구,대전광역시 유성구청,6-4-8-6-1,1990-09-13,,거목,느릅나무과,Zelkova serrata,느티나무,1,150,20,3,,마을나무,묘지,1048,개인,,대전광역시 유성구 금고동 470,36.464608,127.388006,2019-06-12
24,대전광역시,유성구,대전광역시 유성구청,6-4-8-10-1,1982-01-01,,거목,느릅나무과,Zelkova serrata,느티나무,4,190,16,3,,마을나무,묘지,6744,개인,,대전광역시 유성구 둔곡동 산23,36.458792,127.362906,2019-06-12
25,대전광역시,유성구,대전광역시 유성구청,3-1,2000-12-01,,거목,은행나무과,Ginkgo biloba,은행나무,1,150,20,3,,마을나무,대,742,개인,대전광역시 유성구 북유성대로592번길 27,대전광역시 유성구 안산동 314,36.4141106,127.301336,2019-06-12
26,대전광역시,유성구,대전광역시 유성구청,1-1,2010-04-16,,노목,콩과,Sophora japonica,회화나무,1,350,15,4,,시·군나무,대,33058,공공,대전광역시 유성구 대덕대로 507-50,대전광역시 유성구 가정동 36-1,36.3784603,127.3732256,2019-06-12
27,대전광역시,중구,대전광역시중구청,6-2-25-6-1,1982-01-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,190,26,0.41,18,마을나무,임야,50,단체,,대전광역시 중구 어남동 산6,36.2179292,127.4159977,2022-06-17
28,대전광역시,중구,대전광역시중구청,6-2-25-5-2,1990-08-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,130,20,0.29,18,마을나무,대,50,개인,,대전광역시 중구 정생동 308,36.248521,127.400274,2022-06-17
29,대전광역시,중구,대전광역시중구청,6-2-25-5-2,1990-08-01,,노목,은행나무과,Ginkgo biloba,은행나무,1,100,19,0.23,8,마을나무,대,50,개인,,대전광역시 중구 정생동 308,36.248521,127.400274,2022-06-17
30,대전광역시,중구,대전광역시중구청,6-2-25-5-1,1982-01-01,,노목,느릅나무과,Zelkova serrata,느티나무,2,190,20,0.4,18,마을나무,대,50,개인,대전광역시 중구 정생로 22(정생동),대전광역시 중구 정생동 298-2,36.25485198,127.3978774,2022-06-17
31,대전광역시,중구,대전광역시중구청,6-2-25-3-1,1982-11-01,,노목,느릅나무과,Zelkova serrata,느티나무,2,120,21,0.41,16,마을나무,답,50,개인,,대전광역시 중구 침산동 204,36.272913,127.394111,2022-06-17
32,대전광역시,중구,대전광역시중구청,6-2-25-2-2,1982-11-01,,노목,느릅나무과,Zelkova serrata,느티나무,2,150,23,0.3,20,마을나무,답,50,개인,,대전광역시 중구 무수동 59,36.284654,127.410692,2022-06-17
33,대전광역시,중구,대전광역시중구청,6-2-25-2-1,1982-11-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,150,23,0.32,22,마을나무,대,50,개인,대전광역시 중구 운남로 65(무수동),대전광역시 중구 무수동 299-4,36.27786254,127.4050157,2022-06-17
34,대전광역시,중구,대전광역시중구청,6-2-25-2-1,1982-11-01,,노목,은행나무과,Ginkgo biloba,은행나무,2,180,26,0.33,14,마을나무,대,50,개인,대전광역시 중구 운남로 65(무수동),대전광역시 중구 무수동 299-4,36.27786254,127.4050157,2022-06-17
35,대전광역시,중구,대전광역시중구청,6-2-24-1-1,1990-08-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,130,13,0.29,17,마을나무,대,50,개인,대전광역시 중구 보문산공원로 59(사정동),대전광역시 중구 사정동 28-1,36.29453022,127.4040516,2022-06-17
36,대전광역시,중구,대전광역시중구청,6-2-25-3,1982-11-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,250,7.5,0.5,11,시·군나무,임야,50,개인,,대전광역시 중구 목달동 83,36.260966,127.415406,2022-06-17
37,대전광역시,중구,대전광역시중구청,6-2-25-2,1990-08-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,200,15,0.41,18,시·군나무,대,50,개인,,대전광역시 중구 정생동 209-1,36.248521,127.400274,2022-06-17
38,대전광역시,중구,대전광역시중구청,6-2-25-1,1990-08-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,200,10,0.34,19,시·군나무,대,50,개인,,대전광역시 중구 정생동 308,36.248521,127.400274,2022-06-17
39,대전광역시,중구,대전광역시중구청,6-2-22-1,1990-08-01,,노목,버드나무과,Salix chaenomeloides Kimura,왕버들,1,150,15,0.3,20,시·군나무,대,50,개인,,대전광역시 중구 문화동 1-40,36.321487,127.411213,2022-06-17
40,대전광역시,중구,대전광역시중구청,6-2-18-1,1982-11-01,,노목,느릅나무과,Zelkova serrata,느티나무,3,200,13,0.2,20,시·군나무,대,50,개인,,대전광역시 중구 태평동 264-4,36.325425,127.400027,2022-06-17
41,대전광역시,중구,대전광역시중구청,6-2-12-2,1982-11-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,200,20,0.47,18,시·군나무,도로,50,공공,,대전광역시 중구 옥계동 45-2,36.299605,127.454646,2022-06-17
42,대전광역시,중구,대전광역시중구청,6-2-12-1,1982-11-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,200,15,0.28,11,시·군나무,대,50,단체,,대전광역시 중구 석교동 61-8,36.309326,127.440947,2022-06-17
43,대전광역시,중구,대전광역시중구청,2006-02-03,1982-11-01,,노목,은행나무과,Ginkgo biloba,은행나무,1,300,15,0.26,9,시·군나무,대,50,개인,대전광역시 중구 사정공원로 115번길 31(사정동),대전광역시 중구 사정동 159,36.2945159,127.3975988,2022-06-17
44,대전광역시,중구,대전광역시중구청,6-2-12-1,1982-11-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,350,15,0.3,14,시·군나무,대,50,개인,대전광역시 중구 봉소루로 29(석교동),대전광역시 중구 석교동 61-2,36.30918605,127.4407769,2022-06-17
45,대전광역시,중구,대전광역시중구청,2006-02-01,1982-11-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,380,8,0.35,12,시·군나무,대,50,개인,,대전광역시 중구 석교동 62-43,36.309668,127.442432,2022-06-17
46,대전광역시,중구,대전광역시중구청,06월 01일,1982-11-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,500,15,0.51,18,시·군나무,대,50,공공,대전광역시 중구 보문로 166(대사동),대전광역시 중구 대사동 104-8,36.31795361,127.4259124,2022-06-17
47,대전광역시,중구,대전광역시중구청,05-Jan,2005-09-15,,노목,버드나무과,Salix chaenomeloides Kimura,왕버들,1,100,12,0.25,20,마을나무,하천,50,공공,,대전광역시 중구 안영동 617-1,36.287593,127.376904,2022-06-17
48,대전광역시,중구,대전광역시중구청,01-Feb,2001-01-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,200,15,0.3,17,마을나무,대,50,단체,대전광역시 중구 봉소루로 29(석교동),대전광역시 중구 석교동 61-2,36.30918605,127.4407769,2022-06-17
49,대전광역시,중구,대전광역시중구청,01-Jan,2001-01-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,400,10,0.56,16,마을나무,임야,50,단체,,대전광역시 중구 정생동 산33,36.246705,127.392742,2022-06-17
50,대전광역시,서구,대전광역시,6-3-16-7-1,1982-10-01,,거목,기타,Querqus accutissima,참나무,1,219,1800,290,,시·군나무,임야,,,대전광역시 서구 우명동 산36-1,,36.2256733,127.2959742,2023-03-28
51,대전광역시,서구,대전광역시,6-3-16-8-1,1982-10-01,,노목,느티나무,Zelkova serrata,느티나무,1,249,2200,600,,시·군나무,답,,,대전광역시 서구 원정동 377,,36.2456538,127.2986759,2023-03-28
52,대전광역시,서구,대전광역시,6-3-16-8-2,1982-10-01,,거목,느티나무,Zelkova serrata,느티나무,1,189,1900,300,,시·군나무,구거,,,대전광역시 서구 원정동 1058,,36.2607543,127.3001669,2023-03-28
53,대전광역시,서구,대전광역시,6-3-16-10-1,1982-10-01,,노목,느티나무,Zelkova serrata,느티나무,1,189,2100,370,,시·군나무,임야,,,대전광역시 서구 봉곡동 산68-2,,36.2708600,127.3241859,2023-03-28
54,대전광역시,서구,대전광역시,6-3-16-4-1,1982-10-01,,노목,버드나무,Salix koreensis,왕버들,1,189,2000,620,,시·군나무,구거,,,대전광역시 서구 괴곡동 989,,36.2851065,127.3524489,2023-03-28
55,대전광역시,서구,대전광역시,6-3-16-4-2,1982-09-01,,노목,버드나무,Salix koreensis,왕버들,1,189,2000,300,,시·군나무,임야,,,대전광역시 서구 괴곡동 377-12,,36.2909103,127.3549670,2023-03-28
56,대전광역시,서구,대전광역시,38384,2005-01-01,,노목,느티나무,Zelkova serrata,느티나무,1,416,1800,200,,시·군나무,구거,,,대전광역시 서구 평촌동 1007,,36.2361639,127.3089194,2023-03-28
57,대전광역시,서구,대전광역시,631,1982-10-01,,노목,느티나무,Zelkova serrata,느티나무,1,469,2000,500,,시·군나무,공원,,,대전광역시 서구 복수동 898,,36.2967106,127.3795454,2023-03-28
58,대전광역시,서구,대전광역시,632,1982-10-01,,노목,버드나무,Salix koreensis,왕버들,1,419,1650,410,,시·군나무,공원,,,대전광역시 서구 탄방동 1487,,36.3414061,127.3943449,2023-03-28
59,대전광역시,서구,대전광역시,6-3-16-1,1982-10-01,,노목,느티나무,Zelkova serrata,느티나무,1,349,1900,350,,시·군나무,도로,,,"대전광역시 서구 우명동 산36-2, 산36-1",,36.2244660,127.2948160,2023-03-28
60,대전광역시,서구,대전광역시,6-3-16-1,1982-10-01,,노목,느티나무,Zelkova serrata,느티나무,1,349,1900,350,,시·군나무,도로,,,"대전광역시 서구 우명동 산36-2, 산36-1",,36.2244660,127.2948160,2023-03-28
61,대전광역시,서구,대전광역시,6-3-16-1,1982-10-01,,노목,느티나무,Zelkova serrata,느티나무,1,349,1900,350,,시·군나무,도로,,,"대전광역시 서구 우명동 산36-2, 산36-1",,36.2244660,127.2948160,2023-03-28
62,대전광역시,서구,대전광역시,6-3-16-2,1982-10-01,,노목,느티나무,Zelkova serrata,느티나무,1,359,2100,340,,시·군나무,임야,,,대전광역시 서구 용촌동 산36,,36.2244660,127.2948160,2023-03-28
63,대전광역시,서구,대전광역시,6-3-16-3,1982-10-01,,노목,느티나무,Zelkova serrata,느티나무,1,359,2000,380,,시·군나무,임야,,,대전광역시 서구 용촌동 산39-1,,36.2501589,127.3139644,2023-03-28
64,대전광역시,서구,대전광역시,6-3-16-9-1,1982-10-01,,노목,느티나무,Zelkova serrata,느티나무,1,259,2000,270,,시·군나무,임야,,,대전광역시 서구 용촌동 산23-1,,36.2474839,127.3241899,2023-03-28
65,대전광역시,서구,대전광역시,6-3-6-1-1,1982-10-01,,노목,버드나무,Salix koreensis,왕버들,1,219,1490,450,,시·군나무,대,,,대전광역시 서구 용문동 589-3,,36.3395675,127.3911953,2023-03-28
66,대전광역시,서구,대전광역시,6-3-16-6-1,1982-10-01,,노목,팽나무,Celtis sinensis,팽나무,1,249,1900,330,,시·군나무,대,,,대전광역시 서구 오동 455-7,,36.2312527,127.3167373,2023-03-28
67,대전광역시,서구,대전광역시,6-3-16-6-2,1990-01-01,,노목,느티나무,Zelkova serrata,느티나무,1,181,1700,240,,시·군나무,대,,,대전광역시 서구 오동 455-47,,36.2307913,127.3086251,2023-03-28
68,대전광역시,대덕구,대덕구 공원녹지과,6-5,1990-05-01,,노목,느릅나무과,Zelkova serrata,느티나무,2,570,16,5.6,,도나무,도로,1183,공공,,대전광역시 대덕구 비래동 407,36.36737939,127.4487703,2024-07-25
69,대전광역시,대덕구,대덕구 공원녹지과,6-5-1,1982-05-10,,노목,느릅나무과,Zelkova serrata,느티나무,1,380,16,4.5,,시·군나무,구거,1391,공공,,대전광역시 대덕구 읍내동 517-74,36.37771348,127.4291026,2024-07-25
70,대전광역시,대덕구,대덕구 공원녹지과,6-5-2,2004-01-19,,노목,느릅나무과,Zelkova serrata,느티나무,1,320,23,4.8,,시·군나무,임야,27471,공공,,대전광역시 대덕구 부수동 산3,36.43720484,127.484288,2024-07-25
71,대전광역시,대덕구,대덕구 공원녹지과,6-5-4-2-2,1990-05-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,210,15,3.9,,면나무,임야,9918,개인,,대전광역시 대덕구 비래동 산3-7,36.37021773,127.450771,2024-07-25
72,대전광역시,대덕구,대덕구 공원녹지과,6-5-4-2-3,1990-05-01,,노목,측백나무과,Juniperus chinensis,향나무,1,210,8,1.7,,면나무,종교용지,506,단체,,대전광역시 대덕구 비래동 468,36.37306794,127.4508756,2024-07-25
73,대전광역시,대덕구,대덕구 공원녹지과,6-5-4-3-2-1,1990-05-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,140,15,2,,마을나무,도로,212,공공,,대전광역시 대덕구 비래동 503,36.372955,127.4510354,2024-07-25
74,대전광역시,대덕구,대덕구 공원녹지과,6-5-6-5-1,1990-08-20,,노목,느릅나무과,Zelkova serrata,느티나무,1,230,17,2.4,,면나무,임야,1363,공공,,대전광역시 대덕구 이현동 산51-1,36.41325732,127.4596982,2024-07-25
75,대전광역시,중구,대전광역시중구청,06월 01일,1982-11-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,500,15,0.51,18,시·군나무,대,50,공공,대전광역시 중구 보문로 166(대사동),대전광역시 중구 대사동 104-8,36.31795361,127.4259124,2023-08-25
76,대전광역시,중구,대전광역시중구청,2006-02-01,1982-11-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,380,8,0.35,12,시·군나무,대,50,개인,,대전광역시 중구 석교동 62-43,36.309668,127.442432,2023-08-25
77,대전광역시,중구,대전광역시중구청,6-2-12-1,1982-11-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,350,15,0.3,14,시·군나무,대,50,개인,대전광역시 중구 봉소루로 29(석교동),대전광역시 중구 석교동 61-2,36.30918605,127.4407769,2023-08-25
78,대전광역시,중구,대전광역시중구청,2006-02-03,1982-11-01,,노목,은행나무과,Ginkgo biloba,은행나무,1,300,15,0.26,9,시·군나무,대,50,개인,대전광역시 중구 사정공원로 115번길 31(사정동),대전광역시 중구 사정동 159,36.2945159,127.3975988,2023-08-25
79,대전광역시,중구,대전광역시중구청,6-2-12-1,1982-11-01,,노목,느릅나무과,Zelkova serrata,느티나무,1,200,15,0.28,11,시·군나무,대,50,단체,,대전광역시 중구 석교동 61-8,36.309326,127.440947,2023-08-25
